"","term","Total"
"496","give me a call",55
"497","go to the gym",55
"498","had a chance to",55
"499","have a safe trip",55
"500","i dont know but",55
"501","i dont know who",55
"502","i get to go",55
"503","a few weeks ago",54
"504","as long as the",54
"505","be sure to stop",54
"506","check out my new",54
"507","did you think of",54
"508","do you think you",54
"509","follow me it would",54
"510","for the follow have",54
"511","fourth be with you",54
"512","get in touch with",54
"513","hit me up if",54
"514","i can do it",54
"515","i dont have time",54
"516","i feel your pain",54
"517","i grew up in",54
"518","i hope to see",54
"519","a member of the",53
"520","after a long day",53
"521","all you need is",53
"522","and i need to",53
"523","are going to have",53
"524","are you looking for",53
"525","are your plans for",53
"526","beautiful day in the",53
"527","big shout out to",53
"528","but it was a",53
"529","by the time i",53
"530","cant wait for my",53
"531","cant wait to share",53
"532","check out our website",53
"533","doing a great job",53
"534","feel the need to",53
"535","for the follow looking",53
"536","going on in the",53
"537","going to be great",53
"538","going to the game",53
"539","good luck with your",53
"540","great day to be",53
"541","have a wonderful weekend",53
"542","have to check it",53
"543","have to wait for",53
"544","having a hard time",53
"545","hey how are you",53
"546","i am in the",53
"547","i am looking forward",53
"548","i dont know i",53
"549","i dont understand how",53
"550","and get a free",52
"551","and im going to",52
"552","anything to do with",52
"553","are having a great",52
"554","be the first to",52
"555","but i think its",52
"556","day of my life",52
"557","days in a row",52
"558","follow me so i",52
"559","for the ff mention",52
"560","get in for free",52
"561","happens for a reason",52
"562","have to get up",52
"563","hope you enjoyed the",52
"564","i do not like",52
"565","i dont need to",52
"566","i just realized that",52
"567","a friend of mine",51
"568","a good day to",51
"569","a smile on my",51
"570","anyone know of a",51
"571","as soon as you",51
"572","do you guys think",51
"573","dont want to miss",51
"574","everything happens for a",51
"575","excited to see the",51
"576","feel like im in",51
"577","from time to time",51
"578","glad you had a",51
"579","glad you liked the",51
"580","going to be fun",51
"581","guys are the best",51
"582","happy to have you",51
"583","have to do it",51
"584","having a good day",51
"585","hope you all have",51
"586","i am so sorry",51
"587","i can only imagine",51
"588","i cannot wait to",51
"589","i cant think of",51
"590","i could go to",51
"591","i go to the",51
"592","i hope you feel",51
"593","a pain in the",50
"594","a way to get",50
"595","and i dont have",50
"596","and i hope you",50
"597","anyone know how to",50
"598","as good as the",50
"599","been there done that",50
"600","cant get enough of",50
"601","dm me your email",50
"602","for the rt have",50
"603","glad i got to",50
"604","glad you enjoyed the",50
"605","going to be awesome",50
"606","going to the gym",50
"607","good luck with that",50
"608","had a dream that",50
"609","hard for me to",50
"610","have to be so",50
"611","how long are you",50
"612","i hate when my",50
"613","a good day for",49
"614","a good idea to",49
"615","a good time to",49
"616","a great time in",49
"617","a matter of time",49
"618","an hour and a",49
"619","but i love you",49
"620","didnt know you were",49
"621","does it take to",49
"622","excited to have you",49
"623","first time in a",49
"624","for following me i",49
"625","get back to work",49
"626","get used to it",49
"627","good luck to you",49
"628","good to meet you",49
"629","has to be a",49
"630","have nothing to do",49
"631","hi my name is",49
"632","how can i get",49
"633","i cant seem to",49
"634","i dont care about",49
"635","a few days ago",48
"636","a lot of money",48
"637","a lot of the",48
"638","a sense of humor",48
"639","all i know is",48
"640","am i going to",48
"641","and let me know",48
"642","and you know it",48
"643","as far as i",48
"644","been way too long",48
"645","cant stop thinking about",48
"646","did you get my",48
"647","for the sake of",48
"648","for your kind words",48
"649","get in the way",48
"650","get to see you",48
"651","going to be there",48
"652","have a great one",48
"653","havent been able to",48
"654","i am so glad",48
"655","i do what i",48
"656","i dont have the",48
"657","i have to admit",48
"658","asked me if i",47
"659","check us out at",47
"660","day of the year",47
"661","did you know the",47
"662","do you think i",47
"663","every now and then",47
"664","for a couple of",47
"665","from am to pm",47
"666","girl in the world",47
"667","going to make it",47
"668","happy new year everyone",47
"669","have a safe and",47
"670","have to deal with",47
"671","hope you enjoy the",47
"672","i am so proud",47
"673","i can help you",47
"674","i dont think that",47
"675","i feel like the",47
"676","i have yet to",47
"677","i hope all is",47
"678","i just had to",47
"679","all i do is",46
"680","am going to be",46
"681","and happy new year",46
"682","ass ass ass ass",46
"683","can i have a",46
"684","cant wait till i",46
"685","come check it out",46
"686","did you get the",46
"687","do you think that",46
"688","for you and your",46
"689","forward to reading your",46
"690","going to be one",46
"691","great to have you",46
"692","happy th birthday to",46
"693","have so much to",46
"694","hope i get to",46
"695","hope you enjoyed your",46
"696","hope your day is",46
"697","i cant believe you",46
"698","i cant help it",46
"699","i didnt know that",46
"700","i dont know the",46
"701","i hope you had",46
"702","a safe and happy",45
"703","all the moms out",45
"704","all the time but",45
"705","and i have no",45
"706","are some of the",45
"707","did you go to",45
"708","do you think is",45
"709","dont know if you",45
"710","end of the week",45
"711","figured out how to",45
"712","for me to get",45
"713","for the rt i",45
"714","getting ready for my",45
"715","go to school tomorrow",45
"716","going to be amazing",45
"717","happy to see you",45
"718","hate it when i",45
"719","hate it when people",45
"720","have a crush on",45
"721","havent been on here",45
"722","hope you all had",45
"723","i dont like you",45
"724","i dont think it",45
"725","i guess i should",45
"726","i hope you get",45
"727","i just saw that",45
"728","a good place to",44
"729","a lot of great",44
"730","a whole lot of",44
"731","all you need to",44
"732","be able to do",44
"733","been a long day",44
"734","day at a time",44
"735","for all your support",44
"736","for it to be",44
"737","get a lot of",44
"738","get out of this",44
"739","go to the beach",44
"740","have an awesome day",44
"741","havent seen you in",44
"742","hope you like it",44
"743","i am about to",44
"744","i am not sure",44
"745","i hate that i",44
"746","i have a great",44
"747","a cup of coffee",43
"748","a great day and",43
"749","and most oral care",43
"750","awkward moment when youre",43
"751","be a lot of",43
"752","be one of those",43
"753","be the only one",43
"754","been on here in",43
"755","been on twitter in",43
"756","but heres my number",43
"757","can u follow me",43
"758","check us out on",43
"759","come check out the",43
"760","do me a favor",43
"761","do the same thing",43
"762","enjoy the rest of",43
"763","falling in love with",43
"764","family law tip of",43
"765","for the rts and",43
"766","forward to having you",43
"767","get out of here",43
"768","get to see my",43
"769","has got to be",43
"770","have a problem with",43
"771","havent been on in",43
"772","here we go again",43
"773","hurry up and get",43
"774","i couldnt make it",43
"775","i had a blast",43
"776","i had so much",43
"777","i have a friend",43
"778","i hope i can",43
"779","a couple of days",42
"780","a new pair of",42
"781","all i can do",42
"782","all the way from",42
"783","all you have to",42
"784","and check it out",42
"785","and check out our",42
"786","and check out the",42
"787","and i are going",42
"788","and its not even",42
"789","are you at the",42
"790","awesome thanks for the",42
"791","be back in the",42
"792","can we get a",42
"793","come out and support",42
"794","do you feel about",42
"795","do you know if",42
"796","do you know the",42
"797","dont forget to get",42
"798","dont think ive ever",42
"799","for the birthday wishes",42
"800","for the follow im",42
"801","for the next hours",42
"802","get rid of the",42
"803","get to go to",42
"804","going to get a",42
"805","have you heard of",42
"806","i am so ready",42
"807","i couldnt agree more",42
"808","i feel like its",42
"809","i feel like my",42
"810","i have nothing to",42
"811","i have so many",42
"812","i havent been to",42
"813","i just got my",42
"814","a better way to",41
"815","a lot to me",41
"816","and a lot of",41
"817","are you doing today",41
"818","as long as they",41
"819","be a good time",41
"820","but i feel like",41
"821","can not wait to",41
"822","can you give me",41
"823","do the right thing",41
"824","dont have time to",41
"825","dont know why but",41
"826","dont want to see",41
"827","follow me i will",41
"828","for the new year",41
"829","going to make a",41
"830","happy birthday hope you",41
"831","have a ton of",41
"832","have to wake up",41
"833","heres my number so",41
"834","hi how are you",41
"835","hope you had fun",41
"836","i am so tired",41
"837","i cant believe its",41
"838","i cant tell if",41
"839","i didnt mean to",41
"840","i dont really know",41
"841","i feel sorry for",41
"842","i had to go",41
"843","i have never seen",41
"844","i have the same",41
"845","i hope everyone has",41
"846","i just realized i",41
"847","a few months ago",40
"848","a very happy birthday",40
"849","and i would love",40
"850","are you in the",40
"851","as well as the",40
"852","at the bottom of",40
"853","believe it or not",40
"854","but i have no",40
"855","call it a night",40
"856","cant wait for it",40
"857","come see us at",40
"858","congrats to all the",40
"859","do we have to",40
"860","dont have to go",40
"861","dont know what it",40
"862","feel like i have",40
"863","follow me and ill",40
"864","follow me im a",40
"865","had a dream about",40
"866","have a hard time",40
"867","have the courage to",40
"868","help spread the word",40
"869","hit me up for",40
"870","how are you today",40
"871","how do you like",40
"872","how is your day",40
"873","i am ready for",40
"874","i cant believe it",40
"875","i could care less",40
"876","i dont need a",40
"877","i dont think the",40
"878","i feel like ive",40
"879","i go back to",40
"880","i go to bed",40
"881","i go to sleep",40
"882","and look forward to",39
"883","as long as we",39
"884","as much as possible",39
"885","as part of the",39
"886","at the right time",39
"887","at the same damn",39
"888","at the world famous",39
"889","can you help me",39
"890","cannot wait to see",39
"891","come out of the",39
"892","day to all of",39
"893","dont have time for",39
"894","dont miss out on",39
"895","dont want to hear",39
"896","dont you hate it",39
"897","excited to see what",39
"898","feel like i am",39
"899","follow me follow me",39
"900","for a lot of",39
"901","for the mention and",39
"902","for the second time",39
"903","forward to the next",39
"904","get ready for a",39
"905","go out to the",39
"906","go to the mall",39
"907","good luck on the",39
"908","got hit by a",39
"909","have you been to",39
"910","how do you think",39
"911","how is it that",39
"912","i am on the",39
"913","i can see the",39
"914","i dont care how",39
"915","i dont know that",39
"916","i have the most",39
"917","i just saw this",39
"918","a few more days",38
"919","a very long time",38
"920","all of the above",38
"921","am in love with",38
"922","am so proud of",38
"923","and would love to",38
"924","are one of the",38
"925","are you doing for",38
"926","are your thoughts on",38
"927","as long as it",38
"928","battle of the bands",38
"929","being a part of",38
"930","bottom of the th",38
"931","but then again i",38
"932","can do to help",38
"933","can u please follow",38
"934","can we interview you",38
"935","dm me if you",38
"936","do you know of",38
"937","do you know when",38
"938","do you want me",38
"939","dont talk to me",38
"940","for a little while",38
"941","for letting us know",38
"942","get the fuck out",38
"943","go back to bed",38
"944","go to the movies",38
"945","going to get my",38
"946","going to take a",38
"947","good how are you",38
"948","happy first day of",38
"949","have to listen to",38
"950","havent tweeted in a",38
"951","having a great weekend",38
"952","hey thanks for following",38
"953","hit by a car",38
"954","how did you get",38
"955","i am ready to",38
"956","i can listen to",38
"957","i cant believe im",38
"958","i cant find my",38
"959","i could use a",38
"960","i dont believe in",38
"961","i dont like the",38
"962","i dont see how",38
"963","i havent had a",38
"964","a few of my",37
"965","a walk to remember",37
"966","all you can eat",37
"967","all you do is",37
"968","and i will follow",37
"969","and on wednesday at",37
"970","and ready to go",37
"971","are you ready to",37
"972","as much as we",37
"973","as one of the",37
"974","at the wallingford ct",37
"975","been trying to get",37
"976","been waiting for this",37
"977","better late than never",37
"978","but i need to",37
"979","cant wait for tomorrow",37
"980","come to those who",37
"981","do you have your",37
"982","for cinco de mayo",37
"983","for the most part",37
"984","forward to hearing from",37
"985","give me a shoutout",37
"986","good luck in the",37
"987","good morning have a",37
"988","good to be home",37
"989","happy to hear that",37
"990","happy valentines day to",37
"991","hate it when you",37
"992","have fun at the",37
"993","have to do with",37
"994","have to go back",37
"995","having a good time",37
"996","how are you feeling",37
"997","how does it feel",37
"998","how i met your",37
"999","how to use it",37
"1000","i cant go to",37
"1001","i dont think anyone",37
"1002","i dont want it",37
"1003","i fell in love",37
"1004","i forgot about that",37
"1005","i just dont get",37
"1006","a bunch of people",36
"1007","a great time to",36
"1008","all the time i",36
"1009","and get back to",36
"1010","and over and over",36
"1011","are you doing this",36
"1012","birthday to one of",36
"1013","but at least i",36
"1014","cant wait for next",36
"1015","cant wait for your",36
"1016","cant wait to show",36
"1017","come to an end",36
"1018","congrats on your new",36
"1019","counting down the days",36
"1020","day to all you",36
"1021","doing the same thing",36
"1022","dont forget to check",36
"1023","everyone have a great",36
"1024","feeling you get when",36
"1025","for the th time",36
"1026","forgot how much i",36
"1027","girl with the dragon",36
"1028","give a fuck about",36
"1029","good morning and happy",36
"1030","got off the phone",36
"1031","had a blast at",36
"1032","had an awesome time",36
"1033","had to go to",36
"1034","how to make a",36
"1035","i am following you",36
"1036","i can do that",36
"1037","i can send you",36
"1038","i did not know",36
"1039","i do not want",36
"1040","i dont think im",36
"1041","i had to do",36
"1042","i hate being sick",36
"1043","i have to take",36
"1044","i hope i dont",36
"1045","i hope you enjoy",36
"1046","i just dont like",36
"1047","a great day at",35
"1048","a lot of them",35
"1049","a whole bunch of",35
"1050","all have a great",35
"1051","all the time and",35
"1052","and dont forget to",35
"1053","and i dont want",35
"1054","and i feel like",35
"1055","and we have a",35
"1056","are some of your",35
"1057","as long as its",35
"1058","as soon as we",35
"1059","bout to go to",35
"1060","but i love it",35
"1061","can do for you",35
"1062","can i get some",35
"1063","can make it to",35
"1064","can you tell me",35
"1065","come join us for",35
"1066","come on down to",35
"1067","did you have a",35
"1068","do i know you",35
"1069","do you call a",35
"1070","does anyone know how",35
"1071","dont give a shit",35
"1072","every once in a",35
"1073","feel bad for the",35
"1074","feels so good to",35
"1075","for a new car",35
"1076","for the ff have",35
"1077","game of the season",35
"1078","get a hold of",35
"1079","going to be able",35
"1080","good luck to the",35
"1081","happy birthday i hope",35
"1082","have to have a",35
"1083","have to make a",35
"1084","have you ever seen",35
"1085","having a bad day",35
"1086","he looks like a",35
"1087","how did i not",35
"1088","how long have you",35
"1089","how to do it",35
"1090","i am in love",35
"1091","i am thinking about",35
"1092","i can give you",35
"1093","i can see it",35
"1094","i cant make it",35
"1095","i cant wait til",35
"1096","i could get a",35
"1097","i do i do",35
"1098","i dont care who",35
"1099","i dont even have",35
"1100","i dont think ill",35
"1101","i feel so bad",35
"1102","i had a good",35
"1103","i have never been",35
"1104","a bottle of wine",34
"1105","a good day today",34
"1106","a happy mothers day",34
"1107","a room full of",34
"1108","and i dont like",34
"1109","and i think i",34
"1110","and now i cant",34
"1111","and we will be",34
"1112","are you coming back",34
"1113","are you guys doing",34
"1114","are you looking forward",34
"1115","as much as the",34
"1116","at pm at the",34
"1117","at pm in the",34
"1118","back up and running",34
"1119","be able to go",34
"1120","big thanks to for",34
"1121","but i will be",34
"1122","by far the best",34
"1123","came out to the",34
"1124","can help you with",34
"1125","cant wait to check",34
"1126","certified wet tshirt contest",34
"1127","check it out and",34
"1128","club drama want to",34
"1129","comic strip live nyc",34
"1130","coming to an end",34
"1131","contest friday club drama",34
"1132","do a lot of",34
"1133","do you live in",34
"1134","do you think will",34
"1135","do yourself a favor",34
"1136","dont care if you",34
"1137","drama want to get",34
"1138","follow follow follow follow",34
"1139","following looking forward to",34
"1140","following the hilltop on",34
"1141","for following the hilltop",34
"1142","for free txt me",34
"1143","for me to be",34
"1144","for the follow you",34
"1145","free txt me i",34
"1146","friday club drama want",34
"1147","g certified wet tshirt",34
"1148","get out there and",34
"1149","getting ready to start",34
"1150","getting ready to watch",34
"1151","going on right now",34
"1152","got a new phone",34
"1153","great start to the",34
"1154","had such a great",34
"1155","happy birthday have a",34
"1156","happy birthday to one",34
"1157","happy fathers day to",34
"1158","happy international womens day",34
"1159","have a fantastic day",34
"1160","have no clue what",34
"1161","have the power to",34
"1162","have the right to",34
"1163","have you been up",34
"1164","helping us spread the",34
"1165","how have u been",34
"1166","i always end up",34
"1167","i am such a",34
"1168","i am thankful for",34
"1169","i can do this",34
"1170","i can do to",34
"1171","i cant stop listening",34
"1172","i dont want you",34
"1173","i just dont know",34
"1174","a great deal of",33
"1175","a long day of",33
"1176","a lot of good",33
"1177","a trip to the",33
"1178","all i see is",33
"1179","and ill send you",33
"1180","are you waiting for",33
"1181","at least i have",33
"1182","be a good night",33
"1183","be there for you",33
"1184","be up all night",33
"1185","but im pretty sure",33
"1186","but thanks for the",33
"1187","cant go back to",33
"1188","cant wait to play",33
"1189","check it out at",33
"1190","come out to the",33
"1191","day to all my",33
"1192","did you hear about",33
"1193","did you see that",33
"1194","do not have a",33
"1195","even if you dont",33
"1196","excited to go to",33
"1197","famous comic strip live",33
"1198","feel like i need",33
"1199","feel like i should",33
"1200","first day of school",33
"1201","for a few hours",33
"1202","for all the great",33
"1203","for me and my",33
"1204","for taking the time",33
"1205","forget to follow me",33
"1206","from pm to pm",33
"1207","get back in the",33
"1208","get to meet you",33
"1209","get to see the",33
"1210","give a shout out",33
"1211","good morning to all",33
"1212","got a chance to",33
"1213","got to be kidding",33
"1214","great job on the",33
"1215","had a great meeting",33
"1216","happy friday the th",33
"1217","happy new year from",33
"1218","hate when that happens",33
"1219","have to be the",33
"1220","have to wait until",33
"1221","her a happy birthday",33
"1222","hope its a good",33
"1223","hope to meet you",33
"1224","hope you are enjoying",33
"1225","hope you enjoy it",33
"1226","how hard it is",33
"1227","how many people are",33
"1228","how much of a",33
"1229","i am a big",33
"1230","i cant find the",33
"1231","i could have been",33
"1232","i didnt get a",33
"1233","i dont even like",33
"1234","i dont know you",33
"1235","i get a rt",33
"1236","i have to see",33
"1237","i havent seen it",33
"1238","a blast at the",32
"1239","a dream come true",32
"1240","a good thing i",32
"1241","a great day with",32
"1242","a happy new year",32
"1243","a lot going on",32
"1244","all of my friends",32
"1245","all of our new",32
"1246","all we need is",32
"1247","and i am a",32
"1248","and thanks for following",32
"1249","and thanks for your",32
"1250","as soon as possible",32
"1251","back to the grind",32
