"","term","Total"
"229","glad",6033
"230","though",5984
"231","hes",5935
"232","makes",5914
"233","maybe",5891
"234","beautiful",5772
"235","away",5729
"236","trying",5694
"237","nothing",5682
"238","house",5670
"239","forward",5607
"240","yet",5598
"241","party",5582
"242","lot",5572
"243","looks",5565
"244","friend",5541
"245","job",5521
"246","true",5483
"247","welcome",5469
"248","wow",5459
"249","following",5433
"250","saw",5424
"251","through",5409
"252","song",5384
"253","sleep",5368
"254","guy",5335
"255","mean",5322
"256","everything",5294
"257","favorite",5284
"258","ass",5249
"259","must",5219
"260","making",5198
"261","might",5176
"262","fuck",5143
"263","until",5114
"264","name",5099
"265","person",5051
"266","stay",5021
"267","family",4989
"268","food",4976
"269","book",4967
"270","which",4965
"271","read",4956
"272","actually",4954
"273","anything",4931
"274","hit",4924
"275","end",4918
"276","class",4876
"277","few",4860
"278","phone",4857
"279","damn",4846
"280","omg",4806
"281","congrats",4782
"282","wont",4763
"283","money",4761
"284","since",4740
"285","theres",4737
"286","place",4730
"287","kids",4721
"288","believe",4708
"289","gotta",4685
"290","baby",4658
"291","both",4641
"292","mom",4638
"293","playing",4609
"294","movie",4601
"295","guess",4599
"296","open",4593
"297","hot",4560
"298","change",4524
"299","own",4514
"300","video",4500
"301","crazy",4486
"302","run",4486
"303","such",4480
"304","season",4458
"305","support",4448
"306","finally",4442
"307","left",4430
"308","hell",4421
"309","sounds",4412
"310","stuff",4404
"311","funny",4403
"312","head",4401
"313","news",4395
"314","talking",4363
"315","email",4347
"316","meet",4322
"317","remember",4312
"318","followers",4305
"319","havent",4301
"320","went",4286
"321","enough",4284
"322","summer",4281
"323","isnt",4269
"324","enjoy",4258
"325","thinking",4258
"326","says",4230
"327","without",4223
"328","part",4169
"329","else",4166
"330","times",4165
"331","early",4140
"332","city",4098
"333","cause",4091
"334","high",4090
"335","word",4068
"336","mind",4004
"337","hours",4000
"338","far",3995
"339","tweets",3988
"340","facebook",3947
"341","ask",3937
"342","luck",3936
"343","care",3927
"344","girls",3927
"345","needs",3912
"346","myself",3894
"347","heart",3860
"348","fan",3855
"349","almost",3834
"350","heard",3804
"351","bring",3748
"352","business",3727
"353","send",3725
"354","used",3714
"355","seen",3701
"356","least",3699
"357","eat",3684
"358","buy",3668
"359","fans",3666
"360","feeling",3664
"361","idea",3661
"362","car",3660
"363","kind",3655
"364","saturday",3645
"365","hour",3635
"366","wrong",3622
"367","sunday",3597
"368","probably",3589
"369","bed",3546
"370","gets",3539
"371","hair",3522
"372","okay",3519
"373","face",3506
"374","late",3480
"375","sweet",3473
"376","taking",3473
"377","room",3463
"378","post",3447
"379","full",3445
"380","dude",3440
"381","aint",3433
"382","theyre",3416
"383","bitch",3410
"384","yourself",3398
"385","event",3396
"386","super",3394
"387","social",3386
"388","found",3377
"389","whole",3344
"390","seeing",3327
"391","story",3321
"392","once",3318
"393","together",3317
"394","yall",3300
"395","sometimes",3294
"396","sad",3289
"397","lunch",3274
"398","top",3271
"399","listening",3269
"400","lmao",3267
"401","reading",3267
"402","meeting",3261
"403","told",3254
"404","bro",3235
"405","perfect",3230
"406","monday",3215
"407","forget",3194
"408","shes",3190
"409","break",3185
"410","rock",3185
"411","coffee",3184
"412","set",3180
"413","black",3154
"414","dinner",3152
"415","text",3118
"416","yesterday",3118
"417","point",3112
"418","join",3102
"419","called",3076
"420","waiting",3071
"421","fucking",3060
"422","special",3056
"423","lost",3052
"424","came",3047
"425","saying",3033
"426","course",3031
"427","games",3023
"428","media",3007
"429","words",2992
"430","definitely",2977
"431","weeks",2976
"432","leave",2974
"433","weather",2970
"434","starting",2966
"435","minutes",2962
"436","red",2955
"437","seriously",2941
"438","boy",2934
"439","problem",2911
"440","agree",2900
"441","learn",2899
"442","half",2883
"443","cute",2864
"444","month",2853
"445","white",2851
"446","mothers",2849
"447","moment",2848
"448","wasnt",2845
"449","goes",2832
"450","less",2824
"451","state",2821
"452","youll",2821
"453","started",2814
"454","line",2808
"455","move",2806
"456","bout",2803
"457","tired",2801
"458","beer",2799
"459","loved",2783
"460","later",2761
"461","list",2743
"462","each",2742
"463","wanted",2741
"464","totally",2718
"465","took",2712
"466","missed",2710
"467","interesting",2709
"468","happen",2697
"469","question",2689
"470","listen",2688
"471","page",2682
"472","drink",2681
"473","gone",2681
"474","wants",2671
"475","online",2659
"476","sick",2659
"477","pick",2657
"478","bit",2641
"479","during",2639
"480","between",2633
"481","chance",2633
"482","women",2631
"483","close",2628
"484","ago",2627
"485","hahaha",2621
"486","wonderful",2619
"487","means",2607
"488","comes",2590
"489","using",2587
"490","tickets",2583
"491","wonder",2582
"492","office",2574
"493","future",2567
"494","either",2555
"495","others",2539
"496","lots",2521
"497","fall",2518
"498","outside",2512
"499","hello",2509
"500","running",2502
"501","whos",2498
"502","students",2486
"503","seems",2485
"504","walk",2485
"505","info",2482
"506","yea",2481
"507","reason",2472
"508","till",2470
"509","second",2468
"510","worth",2446
"511","chicago",2443
"512","different",2443
"513","mine",2432
"514","dog",2430
"515","past",2421
"516","beat",2418
"517","boys",2417
"518","rest",2415
"519","art",2412
"520","rain",2407
"521","turn",2404
"522","visit",2399
"523","spring",2384
"524","dance",2380
"525","share",2371
"526","college",2361
"527","plan",2355
"528","number",2343
"529","mad",2338
"530","site",2338
"531","writing",2336
"532","busy",2320
"533","dream",2311
"534","three",2311
"535","proud",2305
"536","pay",2295
"537","stupid",2292
"538","christmas",2286
"539","service",2282
"540","ugh",2276
"541","appreciate",2273
"542","austin",2271
"543","men",2266
"544","power",2261
"545","youve",2260
"546","blog",2252
"547","giving",2248
"548","drive",2243
"549","cold",2235
"550","side",2226
"551","park",2225
"552","wouldnt",2223
"553","yay",2221
"554","thx",2211
"555","easy",2193
"556","trip",2189
"557","club",2186
"558","couldnt",2185
"559","tho",2181
"560","against",2180
"561","success",2179
"562","huge",2178
"563","understand",2176
"564","cuz",2173
"565","website",2170
"566","deal",2164
"567","matter",2158
"568","able",2157
"569","kid",2157
"570","young",2156
"571","finished",2155
"572","ppl",2153
"573","ones",2150
"574","shout",2141
"575","dear",2136
"576","app",2134
"577","voice",2133
"578","instead",2132
"579","single",2132
"580","sound",2131
"581","green",2130
"582","via",2128
"583","water",2127
"584","bar",2121
"585","thursday",2113
"586","under",2102
"587","nyc",2095
"588","fine",2089
"589","lady",2085
"590","weird",2083
"591","san",2072
"592","date",2069
"593","project",2062
"594","tweeting",2060
"595","town",2057
"596","fire",2055
"597","shows",2053
"598","knew",2052
"599","body",2049
"600","band",2045
"601","account",2033
"602","arent",2032
"603","street",2019
"604","catch",2016
"605","american",2009
"606","film",2008
"607","small",2007
"608","write",2004
"609","dead",2003
"610","wine",2002
"611","eyes",1998
"612","dad",1997
"613","woman",1997
"614","eating",1996
"615","mention",1995
"616","final",1992
"617","hand",1974
"618","bet",1970
"619","history",1965
"620","living",1964
"621","couple",1958
"622","safe",1951
"623","add",1947
"624","experience",1947
"625","library",1947
"626","picture",1946
"627","books",1944
"628","sign",1944
"629","important",1942
"630","shot",1938
"631","won",1938
"632","behind",1937
"633","works",1937
"634","conference",1935
"635","anymore",1926
"636","john",1925
"637","fact",1919
"638","store",1919
"639","order",1918
"640","series",1917
"641","fight",1911
"642","cut",1908
"643","lose",1908
"644","google",1904
"645","months",1904
"646","wear",1902
"647","everybody",1892
"648","fast",1886
"649","group",1885
"650","become",1878
"651","local",1871
"652","smile",1869
"653","sucks",1866
"654","wit",1865
"655","forever",1862
"656","short",1861
"657","interested",1856
"658","save",1853
"659","answer",1843
"660","sent",1841
"661","starts",1841
"662","april",1840
"663","radio",1838
"664","album",1837
"665","die",1831
"666","sun",1830
"667","kinda",1829
"668","happened",1822
"669","gave",1821
"670","hopefully",1820
"671","center",1819
"672","learning",1816
"673","vote",1816
"674","feels",1815
"675","songs",1812
"676","available",1809
"677","public",1809
"678","link",1807
"679","light",1796
"680","nigga",1791
"681","followed",1790
"682","breakfast",1780
"683","loving",1779
"684","dreams",1777
"685","stand",1777
"686","worst",1772
"687","brother",1764
"688","heading",1763
"689","takes",1751
"690","community",1748
"691","hold",1739
"692","moving",1738
"693","tried",1738
"694","met",1735
"695","tuesday",1734
"696","national",1733
"697","tour",1733
"698","case",1732
"699","asked",1717
"700","sitting",1711
"701","forgot",1710
"702","loves",1710
"703","hurt",1707
"704","knows",1707
"705","road",1701
"706","company",1696
"707","country",1696
"708","ball",1694
"709","concert",1693
"710","justin",1692
"711","ride",1691
"712","pic",1689
"713","parents",1688
"714","front",1687
"715","blue",1680
"716","speak",1677
"717","afternoon",1676
"718","rather",1675
"719","message",1674
"720","alone",1671
"721","area",1671
"722","todays",1671
"723","act",1667
"724","pizza",1667
"725","trust",1667
"726","ideas",1666
"727","thoughts",1666
"728","folks",1665
"729","sharing",1661
"730","watched",1661
"731","bored",1659
"732","smh",1658
"733","obama",1657
"734","shoot",1655
"735","football",1654
"736","ice",1652
"737","strong",1649
"738","played",1640
"739","opening",1639
"740","beach",1638
"741","sexy",1638
"742","rip",1632
"743","exactly",1630
"744","iphone",1627
"745","sex",1627
"746","questions",1625
"747","lucky",1622
"748","wearing",1618
"749","record",1616
"750","enjoyed",1614
"751","pass",1614
"752","absolutely",1613
"753","test",1605
"754","son",1600
"755","sports",1599
"756","gym",1587
"757","truth",1587
"758","hang",1584
"759","heat",1577
"760","ladies",1577
"761","lil",1577
"762","contact",1575
"763","cover",1568
"764","cannot",1565
"765","air",1559
"766","star",1559
"767","paper",1557
"768","gift",1556
"769","kill",1555
"770","session",1551
"771","wake",1551
"772","wednesday",1551
"773","hoping",1543
"774","enjoying",1541
"775","spend",1539
"776","miami",1535
"777","snow",1528
"778","west",1526
"779","health",1524
"780","missing",1521
"781","yours",1519
"782","bus",1518
"783","interview",1517
"784","weve",1516
"785","sister",1513
"786","bought",1511
"787","market",1508
"788","vegas",1506
"789","needed",1504
"790","especially",1502
"791","america",1501
"792","happens",1496
"793","finish",1491
"794","quite",1490
"795","wife",1489
"796","congratulations",1482
"797","internet",1482
"798","movies",1480
"799","plans",1480
"800","hands",1478
"801","program",1475
"802","straight",1473
"803","chocolate",1470
"804","along",1468
"805","somebody",1467
"806","realize",1464
"807","possible",1462
"808","design",1453
"809","round",1453
"810","tip",1451
"811","door",1448
"812","baseball",1447
"813","retweet",1446
"814","sense",1443
"815","whatever",1443
"816","serious",1442
"817","june",1437
"818","driving",1435
"819","march",1434
"820","practice",1434
"821","chicken",1433
"822","million",1430
"823","yep",1430
"824","inside",1425
"825","laugh",1423
"826","studio",1422
"827","evening",1419
"828","lead",1417
"829","suck",1416
"830","details",1415
"831","holiday",1414
"832","wtf",1413
"833","often",1409
"834","fat",1408
"835","cry",1407
"836","walking",1405
"837","mother",1404
"838","data",1403
"839","chris",1401
"840","fantastic",1397
"841","step",1394
"842","bill",1388
"843","due",1388
"844","episode",1388
"845","player",1387
"846","seem",1385
"847","jobs",1382
"848","jesus",1377
"849","space",1376
"850","training",1374
"851","longer",1373
"852","til",1368
"853","shopping",1366
"854","gay",1362
"855","easter",1361
"856","track",1361
"857","boston",1360
"858","shut",1359
"859","near",1358
"860","exciting",1356
"861","idk",1355
"862","children",1354
"863","sale",1353
"864","sat",1353
"865","winning",1351
"866","goal",1345
"867","pics",1339
"868","plus",1333
"869","cheese",1332
"870","awkward",1331
"871","article",1329
"872","extra",1328
"873","card",1322
"874","basketball",1321
"875","lord",1321
"876","peace",1320
"877","photo",1320
"878","south",1319
"879","touch",1318
"880","child",1317
"881","fresh",1314
"882","minute",1312
"883","death",1309
"884","pictures",1308
"885","lovely",1298
"886","middle",1298
"887","singing",1298
"888","hungry",1297
"889","web",1296
"890","drinking",1294
"891","looked",1291
"892","issue",1289
"893","student",1289
"894","everyday",1288
"895","building",1286
"896","attention",1285
"897","church",1284
"898","race",1283
"899","apparently",1282
"900","smart",1282
"901","choice",1280
"902","personal",1279
"903","lives",1278
"904","texas",1278
"905","shirt",1277
"906","nobody",1276
"907","action",1271
"908","players",1271
"909","york",1269
"910","boyfriend",1267
"911","meant",1267
"912","jealous",1266
"913","kick",1263
"914","headed",1262
"915","type",1262
"916","learned",1261
"917","pain",1259
"918","celebrate",1257
"919","calling",1256
"920","law",1256
"921","marketing",1253
"922","quick",1250
"923","cat",1248
"924","etc",1248
"925","planning",1248
"926","board",1247
"927","coach",1247
"928","spot",1247
"929","asking",1244
"930","bday",1243
"931","joke",1242
"932","stage",1241
"933","sir",1240
"934","energy",1238
"935","tuned",1238
"936","putting",1233
"937","self",1230
"938","brown",1229
"939","mark",1229
"940","holy",1228
"941","worry",1228
"942","changed",1226
"943","figure",1225
"944","hows",1225
"945","poor",1223
"946","youtube",1223
"947","field",1222
"948","four",1222
"949","liked",1222
"950","grow",1220
"951","leaving",1220
"952","release",1220
"953","downtown",1217
"954","artist",1216
"955","shop",1215
"956","posted",1214
"957","sit",1214
"958","hearing",1213
"959","human",1213
"960","spent",1213
"961","bowl",1212
"962","james",1212
"963","officially",1209
"964","research",1209
"965","president",1208
"966","swear",1208
"967","eye",1207
"968","fair",1207
"969","goodnight",1207
"970","seattle",1207
"971","slow",1204
"972","teacher",1203
"973","wed",1202
"974","btw",1200
"975","biggest",1198
"976","cake",1198
"977","create",1192
"978","moms",1191
"979","respect",1188
"980","gives",1187
"981","youd",1185
"982","piece",1184
"983","problems",1182
"984","entire",1180
"985","hilarious",1180
"986","ahead",1179
"987","telling",1179
"988","truly",1179
"989","key",1178
"990","videos",1178
"991","nights",1176
"992","mobile",1175
"993","worse",1175
"994","drop",1171
"995","box",1169
"996","david",1169
"997","clean",1168
"998","king",1167
"999","mike",1167
"1000","min",1167
"1001","computer",1166
"1002","helping",1164
"1003","sing",1159
"1004","anyway",1158
"1005","age",1157
"1006","dark",1157
"1007","shouldnt",1157
"1008","delicious",1155
"1009","ticket",1155
"1010","advice",1153
"1011","lie",1152
"1012","content",1151
"1013","crap",1150
"1014","network",1150
"1015","worked",1150
"1016","apple",1148
"1017","throw",1148
"1018","warm",1148
"1019","update",1147
"1020","alright",1146
"1021","tech",1146
"1022","buddy",1145
"1023","ipad",1145
"1024","stuck",1144
"1025","quote",1143
"1026","style",1143
"1027","gorgeous",1142
"1028","paul",1141
"1029","study",1141
"1030","ima",1139
"1031","chat",1138
"1032","dress",1138
"1033","north",1138
"1034","issues",1137
"1035","tea",1136
"1036","goin",1135
"1037","random",1132
"1038","taken",1131
"1039","control",1129
"1040","woke",1129
"1041","digital",1128
"1042","performance",1128
"1043","tough",1128
"1044","milwaukee",1127
"1045","low",1126
"1046","earth",1124
"1047","wins",1122
"1048","calls",1121
"1049","supposed",1120
"1050","system",1120
"1051","broke",1116
"1052","cream",1115
"1053","workout",1115
"1054","greatest",1114
"1055","imagine",1114
"1056","teams",1112
"1057","drunk",1111
"1058","east",1109
"1059","double",1108
"1060","across",1105
"1061","code",1105
"1062","bitches",1104
"1063","major",1103
"1064","positive",1103
"1065","likes",1102
"1066","wedding",1102
"1067","excellent",1101
"1068","agreed",1100
"1069","difference",1099
"1070","shoes",1097
"1071","thru",1096
"1072","dick",1095
"1073","brand",1094
"1074","ugly",1094
"1075","annoying",1093
"1076","felt",1093
"1077","official",1093
"1078","unless",1093
"1079","daily",1092
"1080","events",1090
"1081","level",1089
"1082","nba",1089
"1083","boo",1087
"1084","count",1086
"1085","lakers",1084
"1086","roll",1084
"1087","photos",1083
"1088","paid",1081
"1089","turned",1081
"1090","fear",1080
"1091","fake",1077
"1092","nap",1075
"1093","choose",1071
"1094","note",1070
"1095","wondering",1067
"1096","sell",1064
"1097","dumb",1063
"1098","nfl",1063
"1099","speaking",1063
"1100","brain",1059
"1101","education",1057
"1102","price",1057
"1103","relationship",1057
"1104","train",1057
"1105","drinks",1053
"1106","ways",1053
"1107","table",1052
"1108","draft",1048
"1109","winner",1048
"1110","five",1047
"1111","focus",1047
"1112","cup",1046
"1113","thinks",1041
"1114","soul",1039
"1115","color",1035
"1116","terrible",1035
"1117","complete",1032
"1118","crew",1032
"1119","healthy",1031
"1120","florida",1030
"1121","information",1029
"1122","boring",1028
"1123","commercial",1027
"1124","traffic",1027
"1125","expect",1026
"1126","keeping",1024
"1127","hall",1022
"1128","search",1022
"1129","born",1021
"1130","july",1020
"1131","pants",1018
"1132","press",1018
"1133","soo",1018
"1134","happening",1015
"1135","usually",1015
"1136","version",1013
"1137","build",1011
"1138","completely",1011
"1139","aww",1009
"1140","hotel",1009
"1141","offer",1009
"1142","review",1009
"1143","asleep",1008
"1144","hanging",1008
"1145","blessed",1006
"1146","secret",1006
"1147","talent",1004
"1148","mouth",1003
"1149","career",1002
"1150","conversation",1002
"1151","fix",1002
"1152","taste",1002
"1153","anybody",999
"1154","keeps",999
"1155","notice",999
"1156","shoutout",999
"1157","houston",998
"1158","heres",997
"1159","flight",996
"1160","deep",993
"1161","report",992
"1162","opportunity",990
"1163","realized",987
"1164","homework",986
"1165","classes",985
"1166","indeed",985
"1167","pleasure",984
"1168","reality",977
"1169","breaking",976
"1170","michael",976
"1171","steve",976
"1172","lately",975
"1173","floor",973
"1174","loud",972
"1175","scared",972
"1176","joe",971
"1177","died",970
"1178","lmfao",968
"1179","reply",968
"1180","except",967
"1181","begin",966
"1182","points",966
"1183","creative",965
"1184","return",965
"1185","caught",964
"1186","promise",964
"1187","station",962
"1188","wall",957
"1189","daughter",955
"1190","mix",955
"1191","blast",954
"1192","contest",954
"1193","showing",954
"1194","brewers",952
"1195","fly",948
"1196","signed",948
"1197","alive",947
"1198","given",946
"1199","vacation",946
"1200","shower",945
"1201","deserve",944
"1202","sold",944
"1203","mood",943
"1204","yup",943
"1205","broken",942
"1206","score",942
"1207","updates",941
"1208","bike",940
"1209","dogs",940
"1210","bag",937
"1211","niggas",936
"1212","currently",932
"1213","denver",932
"1214","doubt",932
"1215","loss",932
"1216","staff",932
"1217","wild",932
"1218","bunch",931
"1219","killed",931
"1220","stories",931
"1221","literally",928
"1222","smell",928
"1223","def",927
"1224","huh",927
"1225","present",926
"1226","per",924
"1227","decided",921
"1228","festival",919
"1229","places",919
"1230","checking",918
"1231","closed",917
"1232","dallas",915
"1233","war",915
"1234","reach",913
"1235","miles",912
"1236","sleeping",910
"1237","travel",910
"1238","direction",908
"1239","diego",907
"1240","nite",906
"1241","tom",906
"1242","tune",906
"1243","tonights",904
"1244","winter",904
"1245","freaking",901
"1246","quality",901
"1247","english",898
"1248","pop",898
"1249","spread",898
"1250","schedule",897
"1251","tweeted",896
"1252","based",895
"1253","killing",895
"1254","tips",895
"1255","bless",894
"1256","fam",894
"1257","feed",893
"1258","fit",893
"1259","somewhere",892
"1260","process",890
"1261","incredible",887
"1262","ryan",887
"1263","trouble",886
"1264","brought",885
"1265","clear",884
"1266","dancing",884
"1267","kidding",884
"1268","shots",884
"1269","beauty",881
"1270","fail",881
"1271","league",881
"1272","sending",880
"1273","finding",879
"1274","museum",879
"1275","simple",879
"1276","treat",878
"1277","address",877
"1278","crying",876
"1279","teach",876
"1280","cheers",874
"1281","ate",872
"1282","luv",872
"1283","cards",870
"1284","gas",870
"1285","screen",869
"1286","presentation",868
"1287","happiness",866
"1288","thanksgiving",865
"1289","value",864
"1290","artists",863
"1291","members",863
"1292","passed",863
"1293","channel",861
"1294","buying",860
"1295","cats",860
"1296","profile",860
"1297","police",858
"1298","tax",857
"1299","credit",855
"1300","hurts",855
"1301","magic",854
"1302","match",853
"1303","services",852
"1304","fish",851
"1305","honestly",851
"1306","award",850
"1307","shooting",850
"1308","afraid",849
"1309","finals",849
"1310","jersey",849
"1311","scary",848
"1312","romney",847
"1313","surprised",847
"1314","successful",845
"1315","easier",844
"1316","challenge",843
"1317","view",842
"1318","beyond",841
"1319","boss",839
"1320","earlier",839
"1321","sales",839
"1322","bye",838
"1323","pull",838
"1324","pack",837
"1325","restaurant",837
"1326","jazz",836
"1327","rich",836
"1328","wishing",836
"1329","fox",834
"1330","judge",834
"1331","named",833
"1332","playoffs",832
"1333","shall",830
"1334","trade",830
"1335","feet",829
"1336","twice",829
"1337","dat",828
"1338","nope",827
"1339","george",826
"1340","atlanta",824
"1341","classic",824
"1342","matt",824
"1343","clothes",823
"1344","dirty",823
"1345","handle",822
"1346","horrible",821
"1347","latest",821
"1348","schools",821
"1349","block",819
"1350","pool",818
"1351","bay",815
"1352","blood",815
"1353","copy",815
"1354","fashion",815
"1355","booth",814
"1356","everywhere",814
"1357","bringing",813
"1358","itll",813
"1359","trending",813
"1360","kiss",810
"1361","crowd",808
"1362","laughing",806
"1363","teaching",806
"1364","glass",805
"1365","customer",804
"1366","product",804
"1367","stars",804
"1368","gettin",803
"1369","ran",802
"1370","connect",799
"1371","within",799
"1372","asap",798
"1373","losing",798
"1374","spending",798
"1375","access",796
"1376","fabulous",796
"1377","honor",795
"1378","themselves",792
"1379","county",791
"1380","staying",791
"1381","alot",790
"1382","mess",789
"1383","yrs",789
"1384","baltimore",788
"1385","known",788
"1386","model",788
"1387","quit",788
"1388","moved",787
"1389","usa",787
"1390","avengers",786
"1391","sometime",786
"1392","faith",785
"1393","grand",785
"1394","member",785
"1395","including",784
"1396","results",781
"1397","mac",780
"1398","plz",780
"1399","fell",779
"1400","pray",779
"1401","campaign",777
"1402","original",777
"1403","stick",777
"1404","picked",776
"1405","acting",775
"1406","knowing",775
"1407","response",773
"1408","awake",772
"1409","form",772
"1410","airport",770
"1411","marriage",770
"1412","gold",769
"1413","inspiration",769
"1414","smoke",769
"1415","prom",768
"1416","total",768
"1417","golf",767
"1418","thankful",766
"1419","changes",765
"1420","mall",765
"1421","french",764
"1422","guest",764
"1423","cost",763
"1424","hunger",763
"1425","whether",763
"1426","fuckin",762
"1427","panel",762
"1428","pro",761
"1429","current",760
"1430","imma",760
"1431","bieber",759
"1432","hill",759
"1433","washington",759
"1434","woo",759
"1435","continue",758
"1436","beats",757
"1437","beginning",757
"1438","court",757
"1439","peeps",757
"1440","plays",757
"1441","technology",757
"1442","bigger",756
"1443","drama",756
"1444","perhaps",756
"1445","science",756
"1446","wat",756
"1447","row",753
"1448","weight",753
"1449","portland",752
"1450","suggestions",751
"1451","talked",751
"1452","babe",750
"1453","decision",748
"1454","teachers",748
"1455","cleaning",747
"1456","added",746
"1457","coast",746
"1458","character",743
"1459","chill",743
"1460","joy",743
"1461","grade",742
"1462","instagram",742
"1463","jump",742
"1464","lazy",742
"1465","epic",741
"1466","period",740
"1467","blame",739
"1468","famous",739
"1469","main",739
"1470","decide",738
"1471","follower",738
"1472","pink",738
"1473","hockey",737
"1474","common",736
"1475","mama",735
"1476","title",735
"1477","orange",733
"1478","wrote",733
"1479","cookies",732
"1480","surprise",732
"1481","third",732
"1482","tree",732
"1483","wishes",732
"1484","merry",731
"1485","products",731
"1486","valentines",731
"1487","consider",730
"1488","philly",729
"1489","six",729
"1490","talented",729
"1491","jack",728
"1492","letting",728
"1493","likely",728
"1494","helps",727
"1495","soccer",727
"1496","university",725
"1497","cancer",724
"1498","tix",724
"1499","scene",723
"1500","holding",722
"1501","comment",721
"1502","normal",720
"1503","pissed",720
"1504","math",719
"1505","bottle",717
"1506","butt",716
"1507","lights",715
"1508","anytime",714
"1509","hahah",714
"1510","projects",714
"1511","role",714
"1512","stopped",714
"1513","yum",714
"1514","bulls",713
"1515","blow",712
"1516","husband",711
"1517","rule",711
"1518","tim",708
"1519","waste",708
"1520","industry",707
"1521","growing",705
"1522","married",704
"1523","moon",704
"1524","obviously",704
"1525","dying",701
"1526","hits",701
"1527","sunny",701
"1528","discussion",700
"1529","follows",700
"1530","receive",699
"1531","truck",699
"1532","higher",698
"1533","apps",697
"1534","bank",697
"1535","general",697
"1536","xoxo",696
"1537","ring",695
"1538","bacon",694
"1539","client",693
"1540","goals",693
"1541","hasnt",693
"1542","clients",692
"1543","ground",692
"1544","hrs",692
"1545","rules",692
"1546","begins",691
"1547","campus",691
"1548","mail",690
"1549","cash",689
"1550","grab",689
"1551","fav",688
"1552","wisconsin",688
"1553","changing",687
