"","term","Total"
"705","i just love",200
"706","i love him",200
"707","i think he",200
"708","is trying to",200
"709","it was just",200
"710","but i just",199
"711","dont give a",199
"712","get a chance",199
"713","get to the",199
"714","got back from",199
"715","hell of a",199
"716","i can make",199
"717","all of them",198
"718","cant wait until",198
"719","going to try",198
"720","how i feel",198
"721","i hope to",198
"722","a great job",197
"723","a piece of",197
"724","and then i",197
"725","hate when people",197
"726","i did not",197
"727","i want some",197
"728","im on my",197
"729","it would mean",197
"730","just got home",197
"731","and of course",196
"732","away from the",196
"733","have the same",196
"734","i have ever",196
"735","im looking forward",196
"736","a big fan",195
"737","a few more",195
"738","have a nice",195
"739","i swear i",195
"740","if you know",195
"741","life is a",195
"742","for the shoutout",194
"743","good morning everyone",194
"744","had a dream",194
"745","have so much",194
"746","how have you",194
"747","i had no",194
"748","i have some",194
"749","i just had",194
"750","i was the",194
"751","im in a",194
"752","in my room",194
"753","a great show",193
"754","and im not",193
"755","can be a",193
"756","how is it",193
"757","is the worst",193
"758","about to be",192
"759","and it is",192
"760","back to sleep",192
"761","but at least",192
"762","hanging out with",192
"763","how to get",192
"764","be the first",191
"765","i have my",191
"766","last night at",191
"767","beautiful day in",190
"768","even though i",190
"769","for a chance",190
"770","it could be",190
"771","are you still",189
"772","been a while",189
"773","i can tell",189
"774","a lot to",188
"775","a year old",188
"776","better than the",188
"777","get a free",188
"778","got to be",188
"779","how to use",188
"780","i agree with",188
"781","i cant find",188
"782","i hope so",188
"783","i think of",188
"784","ive got a",188
"785","be part of",187
"786","have a safe",187
"787","i am now",187
"788","i think about",187
"789","in high school",187
"790","is looking for",187
"791","is the day",187
"792","and we can",186
"793","do you guys",186
"794","for you and",186
"795","i can say",186
"796","i know but",186
"797","a good way",185
"798","come out and",185
"799","do you get",185
"800","forward to a",185
"801","going to a",185
"802","i miss the",185
"803","i saw a",185
"804","im on the",185
"805","a wonderful day",184
"806","for the tweet",184
"807","go out to",184
"808","gonna have to",184
"809","hope everyone has",184
"810","i get my",184
"811","is what i",184
"812","a copy of",183
"813","do it again",183
"814","fall in love",183
"815","how many people",183
"816","i think so",183
"817","if there is",183
"818","it can be",183
"819","it was an",183
"820","know if i",183
"821","and i can",182
"822","at some point",182
"823","cant believe i",182
"824","catching up on",182
"825","get in the",182
"826","i just realized",182
"827","is to be",182
"828","a few minutes",181
"829","a matter of",181
"830","as far as",181
"831","i will always",181
"832","im not the",181
"833","like a great",181
"834","dont have any",180
"835","down to the",180
"836","here in the",180
"837","i get home",180
"838","its not the",180
"839","and will be",179
"840","and you will",179
"841","be in a",179
"842","in my house",179
"843","it is so",179
"844","it just me",179
"845","its good to",179
"846","and we are",178
"847","congrats to the",178
"848","dont feel like",178
"849","i might be",178
"850","i was on",178
"851","just told me",178
"852","been a long",177
"853","by the end",177
"854","for the summer",177
"855","going on in",177
"856","have a few",177
"857","have time to",177
"858","how can you",177
"859","i hope that",177
"860","if you get",177
"861","im not even",177
"862","in less than",177
"863","its funny how",177
"864","a happy birthday",176
"865","big fan of",176
"866","can get a",176
"867","dont need to",176
"868","find a way",176
"869","i could go",176
"870","in the am",176
"871","it is to",176
"872","are on the",175
"873","in a couple",175
"874","it must be",175
"875","its not even",175
"876","lets do this",175
"877","a new one",174
"878","check them out",174
"879","do what you",174
"880","he was a",174
"881","all about the",173
"882","back to school",173
"883","come see us",173
"884","for a long",173
"885","hope you enjoy",173
"886","i appreciate it",173
"887","it seems like",173
"888","it when i",173
"889","i really hope",172
"890","its my birthday",172
"891","great meeting you",171
"892","have to work",171
"893","im gonna be",171
"894","it to me",171
"895","a little more",170
"896","for me and",170
"897","glad to have",170
"898","hope you all",170
"899","hope you enjoyed",170
"900","i look like",170
"901","im starting to",170
"902","in the dark",170
"903","it to you",170
"904","know how i",170
"905","at the top",169
"906","can help you",169
"907","headed to the",169
"908","i can only",169
"909","i saw you",169
"910","i tried to",169
"911","is making me",169
"912","a pic of",168
"913","able to get",168
"914","come out to",168
"915","going to start",168
"916","great to hear",168
"917","in for a",168
"918","in time for",168
"919","it might be",168
"920","it was awesome",168
"921","a few years",167
"922","big thanks to",167
"923","but i do",167
"924","but then i",167
"925","for being a",167
"926","got to see",167
"927","hope you can",167
"928","i will follow",167
"929","if it is",167
"930","im so tired",167
"931","im working on",167
"932","in the new",167
"933","and ready to",166
"934","and you can",166
"935","can you follow",166
"936","for no reason",166
"937","have to take",166
"938","is the last",166
"939","a follow back",165
"940","a nice day",165
"941","excited about the",165
"942","good to hear",165
"943","i am on",165
"944","i dont really",165
"945","as bad as",164
"946","for a free",164
"947","for mothers day",164
"948","for the night",164
"949","good morning to",164
"950","having a good",164
"951","i did it",164
"952","if i get",164
"953","is a very",164
"954","just going to",164
"955","a hard time",163
"956","a trip to",163
"957","and you are",163
"958","figure out how",163
"959","for a bit",163
"960","for a reason",163
"961","game of thrones",163
"962","he has a",163
"963","how much you",163
"964","i saw that",163
"965","i was wondering",163
"966","if youre a",163
"967","just made my",163
"968","i feel bad",162
"969","im at the",162
"970","life is good",162
"971","i could get",161
"972","if u want",161
"973","ill be at",161
"974","in the playoffs",161
"975","all my friends",160
"976","anyone have a",160
"977","be happy to",160
"978","hope youre having",160
"979","if you would",160
"980","if youre in",160
"981","have a chance",159
"982","im on a",159
"983","in my car",159
"984","and check out",158
"985","be nice to",158
"986","do i get",158
"987","for the past",158
"988","i cant help",158
"989","i have not",158
"990","i mean i",158
"991","i was gonna",158
"992","im tired of",158
"993","is that the",158
"994","ive never been",158
"995","give a fuck",157
"996","i do it",157
"997","i may be",157
"998","i would do",157
"999","if i were",157
"1000","is the one",157
"1001","just got done",157
"1002","front of the",156
"1003","if you wanna",156
"1004","is wrong with",156
"1005","excited to have",155
"1006","for me i",155
"1007","i find it",155
"1008","i hope it",155
"1009","ill be back",155
"1010","im such a",155
"1011","is at the",155
"1012","all the best",154
"1013","even if you",154
"1014","for those who",154
"1015","front of me",154
"1016","get at me",154
"1017","great time at",154
"1018","i love them",154
"1019","in touch with",154
"1020","just a few",154
"1021","just in time",154
"1022","happy for you",153
"1023","i forgot to",153
"1024","i grew up",153
"1025","im so proud",153
"1026","it if you",153
"1027","it would make",153
"1028","dont have the",152
"1029","figure it out",152
"1030","i just wanted",152
"1031","im sorry i",152
"1032","in real life",152
"1033","is full of",152
"1034","a glass of",151
"1035","a great one",151
"1036","and for the",151
"1037","and they are",151
"1038","here we come",151
"1039","hope everyone is",151
"1040","i guess its",151
"1041","in case you",151
"1042","keep an eye",151
"1043","didnt want to",150
"1044","i am looking",150
"1045","i didnt think",150
"1046","i see a",150
"1047","it but i",150
"1048","it was good",150
"1049","just me or",150
"1050","a few of",149
"1051","a really good",149
"1052","at the bar",149
"1053","by the time",149
"1054","do you need",149
"1055","i listen to",149
"1056","it for the",149
"1057","know when you",149
"1058","and you know",148
"1059","at least you",148
"1060","bout to go",148
"1061","did you do",148
"1062","didnt have to",148
"1063","follow back please",148
"1064","had so much",148
"1065","happy to see",148
"1066","hope everyone had",148
"1067","i didnt see",148
"1068","i saw the",148
"1069","if i didnt",148
"1070","its like a",148
"1071","and its not",147
"1072","any of the",147
"1073","at in the",147
"1074","be interested in",147
"1075","but i like",147
"1076","but you can",147
"1077","could have been",147
"1078","for all you",147
"1079","friday the th",147
"1080","get on the",147
"1081","here at the",147
"1082","how do we",147
"1083","i bet you",147
"1084","i hate being",147
"1085","i knew it",147
"1086","i might have",147
"1087","ill see you",147
"1088","is it a",147
"1089","keep up with",147
"1090","a great idea",146
"1091","are trying to",146
"1092","are you gonna",146
"1093","but i was",146
"1094","feel bad for",146
"1095","feel the same",146
"1096","for the heads",146
"1097","have a feeling",146
"1098","i just have",146
"1099","i remember when",146
"1100","i was born",146
"1101","in the way",146
"1102","is all about",146
"1103","just let me",146
"1104","agree with you",145
"1105","and go to",145
"1106","and i hope",145
"1107","at the office",145
"1108","everyone had a",145
"1109","get used to",145
"1110","go on a",145
"1111","have you heard",145
"1112","i just found",145
"1113","im glad i",145
"1114","in a relationship",145
"1115","just a little",145
"1116","like a man",145
"1117","best part of",144
"1118","friends and family",144
"1119","from now on",144
"1120","i guess im",144
"1121","i like you",144
"1122","ill try to",144
"1123","a huge fan",143
"1124","can we get",143
"1125","come on down",143
"1126","for the show",143
"1127","get a follow",143
"1128","happy to have",143
"1129","how did i",143
"1130","how was the",143
"1131","i dont give",143
"1132","i feel you",143
"1133","its just a",143
"1134","know that i",143
"1135","knows how to",143
"1136","a bottle of",142
"1137","a good weekend",142
"1138","a list of",142
"1139","a waste of",142
"1140","for my birthday",142
"1141","forward to hearing",142
"1142","had a wonderful",142
"1143","hear from you",142
"1144","if you see",142
"1145","im so sorry",142
"1146","in life is",142
"1147","is a big",142
"1148","are so many",141
"1149","for you guys",141
"1150","going to miss",141
"1151","happy th birthday",141
"1152","have you tried",141
"1153","i can help",141
"1154","i missed you",141
"1155","in the room",141
"1156","is this a",141
"1157","it doesnt matter",141
"1158","know how it",141
"1159","know how much",141
"1160","all you do",140
"1161","and i still",140
"1162","and we have",140
"1163","but its not",140
"1164","do you mean",140
"1165","feels good to",140
"1166","good luck on",140
"1167","good way to",140
"1168","how about a",140
"1169","in san francisco",140
"1170","is a lot",140
"1171","it as a",140
"1172","back to you",139
"1173","but i got",139
"1174","couldnt agree more",139
"1175","cup of coffee",139
"1176","i am still",139
"1177","it may be",139
"1178","its about time",139
"1179","always wanted to",138
"1180","and i need",138
"1181","at least one",138
"1182","came out to",138
"1183","day to be",138
"1184","dont like it",138
"1185","first time i",138
"1186","forward to meeting",138
"1187","gearing up for",138
"1188","get a new",138
"1189","has a great",138
"1190","have to check",138
"1191","i hope they",138
"1192","if u dont",138
"1193","it in a",138
"1194","keep in touch",138
"1195","a cup of",137
"1196","a member of",137
"1197","at the game",137
"1198","back from the",137
"1199","been waiting for",137
"1200","have an amazing",137
"1201","i got some",137
"1202","i guess ill",137
"1203","i think youre",137
"1204","is out of",137
"1205","it sounds like",137
"1206","it was nice",137
"1207","a look at",136
"1208","around the world",136
"1209","back to my",136
"1210","but when i",136
"1211","day for a",136
"1212","for a little",136
"1213","get ready to",136
"1214","good thing i",136
"1215","hope you get",136
"1216","i do i",136
"1217","i love being",136
"1218","i only have",136
"1219","i refuse to",136
"1220","i said i",136
"1221","i saw it",136
"1222","i will get",136
"1223","in the shower",136
"1224","it takes a",136
"1225","learn more about",136
"1226","birthday to the",135
"1227","but i guess",135
"1228","call it a",135
"1229","did you have",135
"1230","do you use",135
"1231","for letting me",135
"1232","god bless you",135
"1233","he needs to",135
"1234","i just did",135
"1235","i think this",135
"1236","im the only",135
"1237","in the sky",135
"1238","is a little",135
"1239","its nice to",135
"1240","kind of a",135
"1241","a link to",134
"1242","and i want",134
"1243","any of you",134
"1244","are you on",134
"1245","can you help",134
"1246","dont do it",134
"1247","got a lot",134
"1248","i have so",134
"1249","in a week",134
"1250","join us at",134
"1251","about to start",133
"1252","all day and",133
"1253","all i need",133
"1254","anyone want to",133
"1255","are the only",133
"1256","cant wait til",133
"1257","change the world",133
"1258","dont think so",133
"1259","hard to get",133
"1260","how r u",133
"1261","i hope your",133
"1262","i like how",133
"1263","i made it",133
"1264","ill give you",133
"1265","know what that",133
"1266","are you looking",132
"1267","at the mall",132
"1268","can go to",132
"1269","come check out",132
"1270","dm me your",132
"1271","do u have",132
"1272","for what you",132
"1273","he wants to",132
"1274","hours of sleep",132
"1275","i hate this",132
"1276","i need my",132
"1277","im a big",132
"1278","im done with",132
"1279","in the woods",132
"1280","it for you",132
"1281","left in the",132
"1282","are you talking",131
"1283","can i have",131
"1284","enjoy your day",131
"1285","game of the",131
"1286","going to take",131
"1287","great day to",131
"1288","i need you",131
"1289","im having a",131
"1290","im sorry but",131
"1291","in los angeles",131
"1292","in the library",131
"1293","is not an",131
"1294","it on my",131
"1295","a day off",130
"1296","all day long",130
"1297","are you at",130
"1298","at my house",130
"1299","cant help but",130
"1300","coming back to",130
"1301","have an awesome",130
"1302","i hope youre",130
"1303","i loved it",130
"1304","i still cant",130
"1305","i think thats",130
"1306","i want it",130
"1307","i wish it",130
"1308","i would never",130
"1309","in the mirror",130
"1310","in the nba",130
"1311","is killing me",130
"1312","it was like",130
"1313","its not like",130
"1314","a long way",129
"1315","and that is",129
"1316","down the street",129
"1317","due to the",129
"1318","get to work",129
"1319","give it to",129
"1320","great seeing you",129
"1321","how many of",129
"1322","i miss u",129
"1323","if you had",129
"1324","its not that",129
"1325","know i am",129
"1326","and i got",128
"1327","and now im",128
"1328","do you ever",128
"1329","dont tell me",128
"1330","hang in there",128
"1331","have to have",128
"1332","i can find",128
"1333","i thought the",128
"1334","i wouldnt be",128
"1335","im not gonna",128
"1336","is coming up",128
"1337","but this is",127
"1338","do you feel",127
"1339","dont understand why",127
"1340","going to school",127
"1341","how you feel",127
"1342","i appreciate the",127
"1343","i see the",127
"1344","i would say",127
"1345","is so cute",127
"1346","a man who",126
"1347","all my new",126
"1348","all you need",126
"1349","as part of",126
"1350","back at ya",126
"1351","cannot wait to",126
"1352","catch up on",126
"1353","get up and",126
"1354","had the best",126
"1355","have to see",126
"1356","how to do",126
"1357","i had my",126
"1358","i hate my",126
"1359","im a little",126
"1360","im excited to",126
"1361","in my bed",126
"1362","in on the",126
"1363","know i was",126
"1364","know that you",126
"1365","know what im",126
"1366","be there for",125
"1367","but i really",125
"1368","figure out what",125
"1369","going to win",125
"1370","got out of",125
"1371","he is the",125
"1372","i want is",125
"1373","in the summer",125
"1374","in the sun",125
"1375","a few months",124
"1376","a little too",124
"1377","all over again",124
"1378","been on twitter",124
"1379","but its a",124
"1380","check out this",124
"1381","come join us",124
"1382","dont let the",124
"1383","go ahead and",124
"1384","i missed it",124
"1385","im sure you",124
"1386","a group of",123
"1387","a very happy",123
"1388","all kinds of",123
"1389","be the most",123
"1390","bring on the",123
"1391","come in and",123
"1392","do what i",123
"1393","dont care what",123
"1394","for spreading the",123
"1395","give up on",123
"1396","go to my",123
"1397","help me get",123
"1398","i am very",123
"1399","i believe in",123
"1400","i feel the",123
"1401","i found out",123
"1402","i hope everyone",123
"1403","i look at",123
"1404","i thought that",123
"1405","if i ever",123
"1406","if they are",123
"1407","if you follow",123
"1408","im gonna go",123
"1409","in the right",123
"1410","is the same",123
"1411","is what you",123
"1412","know what it",123
"1413","la la la",123
"1414","at the door",122
"1415","because i dont",122
"1416","cake cake cake",122
"1417","day at work",122
"1418","did i miss",122
